id,participant_id_left,participant_id_right,participant_id_left_unique,participant_id_right_unique,lang_code,conv_id,original_or_reenacted,time_start,time_end,duration,trans_id
EN_029_#9,58,57,14,20,EN,EN_029,OG,0 days 00:00:56.505000,0 days 00:01:00.205000,0 days 00:00:03.700000,ES_029_#9
EN_029_#10,58,57,14,20,EN,EN_029,OG,0 days 00:01:00.415000,0 days 00:01:06.495000,0 days 00:00:06.080000,ES_029_#10
EN_029_#11,58,57,14,20,EN,EN_029,OG,0 days 00:01:18.695000,0 days 00:01:24.845000,0 days 00:00:06.150000,ES_029_#11
EN_029_#12,58,57,14,20,EN,EN_029,OG,0 days 00:02:10.630000,0 days 00:02:16.450000,0 days 00:00:05.820000,ES_029_#12
EN_029_#13,58,57,14,20,EN,EN_029,OG,0 days 00:02:27.980000,0 days 00:02:34.880000,0 days 00:00:06.900000,ES_029_#13
EN_029_#14,58,57,14,20,EN,EN_029,OG,0 days 00:02:49.790000,0 days 00:02:52.900000,0 days 00:00:03.110000,ES_029_#14
EN_029_#15,58,57,14,20,EN,EN_029,OG,0 days 00:03:00.895000,0 days 00:03:04.935000,0 days 00:00:04.040000,ES_029_#15
EN_029_#16,58,57,14,20,EN,EN_029,OG,0 days 00:03:16.085000,0 days 00:03:19.405000,0 days 00:00:03.320000,ES_029_#16
EN_029_#17,58,57,14,20,EN,EN_029,OG,0 days 00:03:22.780000,0 days 00:03:30.540000,0 days 00:00:07.760000,ES_029_#17
EN_029_#18,58,57,14,20,EN,EN_029,OG,0 days 00:03:34.480000,0 days 00:03:39.590000,0 days 00:00:05.110000,ES_029_#18
EN_029_#19,58,57,14,20,EN,EN_029,OG,0 days 00:03:39.750000,0 days 00:03:42.150000,0 days 00:00:02.400000,ES_029_#19
EN_029_#20,58,57,14,20,EN,EN_029,OG,0 days 00:03:54.650000,0 days 00:03:59.960000,0 days 00:00:05.310000,ES_029_#20
EN_029_#21,58,57,14,20,EN,EN_029,OG,0 days 00:04:10.055000,0 days 00:04:13.275000,0 days 00:00:03.220000,ES_029_#21
EN_029_#22,58,57,14,20,EN,EN_029,OG,0 days 00:04:43.500000,0 days 00:04:48.890000,0 days 00:00:05.390000,ES_029_#22
EN_029_#23,58,57,14,20,EN,EN_029,OG,0 days 00:05:07.390000,0 days 00:05:13.390000,0 days 00:00:06,ES_029_#23
EN_029_#24,58,57,14,20,EN,EN_029,OG,0 days 00:05:21.630000,0 days 00:05:24.680000,0 days 00:00:03.050000,ES_029_#24
EN_029_#25,58,57,14,20,EN,EN_029,OG,0 days 00:05:27.280000,0 days 00:05:30.190000,0 days 00:00:02.910000,ES_029_#25
EN_029_#26,58,57,14,20,EN,EN_029,OG,0 days 00:05:31.780000,0 days 00:05:39.620000,0 days 00:00:07.840000,ES_029_#26
EN_029_#27,58,57,14,20,EN,EN_029,OG,0 days 00:05:40.920000,0 days 00:05:45.970000,0 days 00:00:05.050000,ES_029_#27
EN_029_#28,58,57,14,20,EN,EN_029,OG,0 days 00:06:50.755000,0 days 00:06:56.425000,0 days 00:00:05.670000,ES_029_#28
EN_029_#29,58,57,14,20,EN,EN_029,OG,0 days 00:07:04.680000,0 days 00:07:09.910000,0 days 00:00:05.230000,ES_029_#29
EN_029_#30,58,57,14,20,EN,EN_029,OG,0 days 00:07:23.145000,0 days 00:07:31.275000,0 days 00:00:08.130000,ES_029_#30
ES_029_#1,58,57,14,20,ES,ES_029,RE,0 days 00:01:10.180000,0 days 00:01:17.140000,0 days 00:00:06.960000,EN_029_#1
ES_029_#2,58,57,14,20,ES,ES_029,RE,0 days 00:01:55.260000,0 days 00:01:58.700000,0 days 00:00:03.440000,EN_029_#2
ES_029_#3,58,57,14,20,ES,ES_029,RE,0 days 00:02:29.610000,0 days 00:02:32.850000,0 days 00:00:03.240000,EN_029_#3
ES_029_#4,58,57,14,20,ES,ES_029,RE,0 days 00:02:51.830000,0 days 00:02:55.310000,0 days 00:00:03.480000,EN_029_#4
ES_029_#5,58,57,14,20,ES,ES_029,RE,0 days 00:03:34.060000,0 days 00:03:39.110000,0 days 00:00:05.050000,EN_029_#5
ES_029_#6,58,57,14,20,ES,ES_029,RE,0 days 00:03:58.130000,0 days 00:03:59.760000,0 days 00:00:01.630000,EN_029_#6
ES_029_#7,58,57,14,20,ES,ES_029,RE,0 days 00:04:57.540000,0 days 00:05:00.320000,0 days 00:00:02.780000,EN_029_#7
ES_029_#8,58,57,14,20,ES,ES_029,RE,0 days 00:05:44.220000,0 days 00:05:47.890000,0 days 00:00:03.670000,EN_029_#8
ES_029_#9,58,57,14,20,ES,ES_029,RE,0 days 00:06:12.810000,0 days 00:06:16.500000,0 days 00:00:03.690000,EN_029_#9
ES_029_#10,58,57,14,20,ES,ES_029,RE,0 days 00:06:35.830000,0 days 00:06:41.050000,0 days 00:00:05.220000,EN_029_#10
ES_029_#11,58,57,14,20,ES,ES_029,RE,0 days 00:07:17.700000,0 days 00:07:22.060000,0 days 00:00:04.360000,EN_029_#11
ES_029_#12,58,57,14,20,ES,ES_029,RE,0 days 00:08:45.420000,0 days 00:08:51.900000,0 days 00:00:06.480000,EN_029_#12
ES_029_#13,58,57,14,20,ES,ES_029,RE,0 days 00:09:09.360000,0 days 00:09:15.780000,0 days 00:00:06.420000,EN_029_#13
ES_029_#14,58,57,14,20,ES,ES_029,RE,0 days 00:09:56.870000,0 days 00:10:00.200000,0 days 00:00:03.330000,EN_029_#14
ES_029_#15,58,57,14,20,ES,ES_029,RE,0 days 00:10:24.820000,0 days 00:10:28.680000,0 days 00:00:03.860000,EN_029_#15
ES_029_#16,58,57,14,20,ES,ES_029,RE,0 days 00:11:37.520000,0 days 00:11:40.980000,0 days 00:00:03.460000,EN_029_#16
ES_029_#17,58,57,14,20,ES,ES_029,RE,0 days 00:12:31.600000,0 days 00:12:38.500000,0 days 00:00:06.900000,EN_029_#17
ES_029_#18,58,57,14,20,ES,ES_029,RE,0 days 00:13:28.280000,0 days 00:13:32.850000,0 days 00:00:04.570000,EN_029_#18
ES_029_#19,58,57,14,20,ES,ES_029,RE,0 days 00:13:48.610000,0 days 00:13:50.750000,0 days 00:00:02.140000,EN_029_#19
ES_029_#20,58,57,14,20,ES,ES_029,RE,0 days 00:14:19.890000,0 days 00:14:24.590000,0 days 00:00:04.700000,EN_029_#20
ES_029_#21,58,57,14,20,ES,ES_029,RE,0 days 00:14:54.480000,0 days 00:14:58.570000,0 days 00:00:04.090000,EN_029_#21
ES_029_#22,58,57,14,20,ES,ES_029,RE,0 days 00:16:03.580000,0 days 00:16:08.260000,0 days 00:00:04.680000,EN_029_#22
ES_029_#23,58,57,14,20,ES,ES_029,RE,0 days 00:17:16.420000,0 days 00:17:23.530000,0 days 00:00:07.110000,EN_029_#23
ES_029_#24,58,57,14,20,ES,ES_029,RE,0 days 00:17:44.980000,0 days 00:17:48.080000,0 days 00:00:03.100000,EN_029_#24
ES_029_#25,58,57,14,20,ES,ES_029,RE,0 days 00:18:16.540000,0 days 00:18:19.140000,0 days 00:00:02.600000,EN_029_#25
ES_029_#26,58,57,14,20,ES,ES_029,RE,0 days 00:18:53.490000,0 days 00:19:02.210000,0 days 00:00:08.720000,EN_029_#26
ES_029_#27,58,57,14,20,ES,ES_029,RE,0 days 00:20:05.780000,0 days 00:20:10.410000,0 days 00:00:04.630000,EN_029_#27
ES_029_#28,58,57,14,20,ES,ES_029,RE,0 days 00:21:41.890000,0 days 00:21:46.990000,0 days 00:00:05.100000,EN_029_#28
ES_029_#29,58,57,14,20,ES,ES_029,RE,0 days 00:22:14.420000,0 days 00:22:19.470000,0 days 00:00:05.050000,EN_029_#29
ES_029_#30,58,57,14,20,ES,ES_029,RE,0 days 00:23:11.570000,0 days 00:23:19.910000,0 days 00:00:08.340000,EN_029_#30
ES_032_#1,59,60,24,25,ES,ES_032,OG,0 days 00:00:14.470000,0 days 00:00:18.480000,0 days 00:00:04.010000,EN_032_#1
ES_032_#2,59,60,24,25,ES,ES_032,OG,0 days 00:00:31.190000,0 days 00:00:37.800000,0 days 00:00:06.610000,EN_032_#2
ES_032_#3,59,60,24,25,ES,ES_032,OG,0 days 00:01:09.330000,0 days 00:01:12.690000,0 days 00:00:03.360000,EN_032_#3
ES_032_#4,59,60,24,25,ES,ES_032,OG,0 days 00:01:35.290000,0 days 00:01:40.010000,0 days 00:00:04.720000,EN_032_#4
ES_032_#5,59,60,24,25,ES,ES_032,OG,0 days 00:01:53.185000,0 days 00:01:55.525000,0 days 00:00:02.340000,EN_032_#5
ES_032_#6,59,60,24,25,ES,ES_032,OG,0 days 00:02:07.380000,0 days 00:02:10.690000,0 days 00:00:03.310000,EN_032_#6
ES_032_#7,59,60,24,25,ES,ES_032,OG,0 days 00:02:13.610000,0 days 00:02:17.430000,0 days 00:00:03.820000,EN_032_#7
ES_032_#8,59,60,24,25,ES,ES_032,OG,0 days 00:05:08.830000,0 days 00:05:12.590000,0 days 00:00:03.760000,EN_032_#8
ES_032_#9,59,60,24,25,ES,ES_032,OG,0 days 00:06:04.055000,0 days 00:06:05.555000,0 days 00:00:01.500000,EN_032_#9
ES_032_#10,59,60,24,25,ES,ES_032,OG,0 days 00:06:09.380000,0 days 00:06:11.710000,0 days 00:00:02.330000,EN_032_#10
ES_032_#11,59,60,24,25,ES,ES_032,OG,0 days 00:06:12.010000,0 days 00:06:18.580000,0 days 00:00:06.570000,EN_032_#11
ES_032_#12,59,60,24,25,ES,ES_032,OG,0 days 00:06:42.750000,0 days 00:06:45.570000,0 days 00:00:02.820000,EN_032_#12
ES_032_#13,59,60,24,25,ES,ES_032,OG,0 days 00:06:56.975000,0 days 00:07:01.325000,0 days 00:00:04.350000,EN_032_#13
ES_032_#14,59,60,24,25,ES,ES_032,OG,0 days 00:07:02.525000,0 days 00:07:05.225000,0 days 00:00:02.700000,EN_032_#14
ES_032_#15,59,60,24,25,ES,ES_032,OG,0 days 00:07:08.515000,0 days 00:07:11.485000,0 days 00:00:02.970000,EN_032_#15
EN_032_#1,59,60,24,25,EN,EN_032,RE,0 days 00:00:20.370000,0 days 00:00:25.760000,0 days 00:00:05.390000,ES_032_#1
EN_032_#2,59,60,24,25,EN,EN_032,RE,0 days 00:01:24.010000,0 days 00:01:31.230000,0 days 00:00:07.220000,ES_032_#2
EN_032_#3,59,60,24,25,EN,EN_032,RE,0 days 00:02:37.680000,0 days 00:02:41.670000,0 days 00:00:03.990000,ES_032_#3
EN_032_#4,59,60,24,25,EN,EN_032,RE,0 days 00:03:34.480000,0 days 00:03:40.630000,0 days 00:00:06.150000,ES_032_#4
EN_032_#5,59,60,24,25,EN,EN_032,RE,0 days 00:04:12.680000,0 days 00:04:15.220000,0 days 00:00:02.540000,ES_032_#5
EN_032_#6,59,60,24,25,EN,EN_032,RE,0 days 00:04:53.250000,0 days 00:04:57.240000,0 days 00:00:03.990000,ES_032_#6
EN_032_#7,59,60,24,25,EN,EN_032,RE,0 days 00:05:54.040000,0 days 00:05:57.990000,0 days 00:00:03.950000,ES_032_#7
EN_032_#8,59,60,24,25,EN,EN_032,RE,0 days 00:08:06.260000,0 days 00:08:10.100000,0 days 00:00:03.840000,ES_032_#8
EN_032_#9,59,60,24,25,EN,EN_032,RE,0 days 00:09:11.050000,0 days 00:09:12.400000,0 days 00:00:01.350000,ES_032_#9
EN_032_#10,59,60,24,25,EN,EN_032,RE,0 days 00:12:03.360000,0 days 00:12:07.200000,0 days 00:00:03.840000,ES_032_#10
EN_032_#11,59,60,24,25,EN,EN_032,RE,0 days 00:12:38.060000,0 days 00:12:42.980000,0 days 00:00:04.920000,ES_032_#11
EN_032_#12,59,60,24,25,EN,EN_032,RE,0 days 00:13:19.070000,0 days 00:13:22.630000,0 days 00:00:03.560000,ES_032_#12
EN_032_#13,59,60,24,25,EN,EN_032,RE,0 days 00:14:07.190000,0 days 00:14:10.820000,0 days 00:00:03.630000,ES_032_#13
EN_032_#14,59,60,24,25,EN,EN_032,RE,0 days 00:14:41.750000,0 days 00:14:45.070000,0 days 00:00:03.320000,ES_032_#14
EN_032_#15,59,60,24,25,EN,EN_032,RE,0 days 00:15:36.450000,0 days 00:15:39.550000,0 days 00:00:03.100000,ES_032_#15
EN_033_#1,61,62,24,26,EN,EN_033,OG,0 days 00:00:00.660000,0 days 00:00:04.950000,0 days 00:00:04.290000,ES_033_#1
EN_033_#2,61,62,24,26,EN,EN_033,OG,0 days 00:00:07.670000,0 days 00:00:09.220000,0 days 00:00:01.550000,ES_033_#2
EN_033_#3,61,62,24,26,EN,EN_033,OG,0 days 00:00:14.320000,0 days 00:00:16.710000,0 days 00:00:02.390000,ES_033_#3
EN_033_#4,61,62,24,26,EN,EN_033,OG,0 days 00:00:17.420000,0 days 00:00:20.900000,0 days 00:00:03.480000,ES_033_#4
EN_033_#6,61,62,24,26,EN,EN_033,OG,0 days 00:00:41.730000,0 days 00:00:45.430000,0 days 00:00:03.700000,ES_033_#6
EN_033_#7,61,62,24,26,EN,EN_033,OG,0 days 00:01:04.135000,0 days 00:01:05.085000,0 days 00:00:00.950000,ES_033_#7
EN_033_#8,61,62,24,26,EN,EN_033,OG,0 days 00:01:05.575000,0 days 00:01:09.595000,0 days 00:00:04.020000,ES_033_#8
EN_033_#9,61,62,24,26,EN,EN_033,OG,0 days 00:01:09.960000,0 days 00:01:11.730000,0 days 00:00:01.770000,ES_033_#9
EN_033_#10,61,62,24,26,EN,EN_033,OG,0 days 00:01:12.750000,0 days 00:01:15.380000,0 days 00:00:02.630000,ES_033_#10
EN_033_#11,61,62,24,26,EN,EN_033,OG,0 days 00:01:15.560000,0 days 00:01:19.510000,0 days 00:00:03.950000,ES_033_#11
EN_033_#12,61,62,24,26,EN,EN_033,OG,0 days 00:01:33.775000,0 days 00:01:39.025000,0 days 00:00:05.250000,ES_033_#12
EN_033_#13,61,62,24,26,EN,EN_033,OG,0 days 00:01:39.085000,0 days 00:01:41.845000,0 days 00:00:02.760000,ES_033_#13
EN_033_#14,61,62,24,26,EN,EN_033,OG,0 days 00:01:47.430000,0 days 00:01:52.240000,0 days 00:00:04.810000,ES_033_#14
EN_033_#15,61,62,24,26,EN,EN_033,OG,0 days 00:02:24.280000,0 days 00:02:27.160000,0 days 00:00:02.880000,ES_033_#15
EN_033_#16,61,62,24,26,EN,EN_033,OG,0 days 00:02:36.855000,0 days 00:02:41.335000,0 days 00:00:04.480000,ES_033_#16
EN_033_#17,61,62,24,26,EN,EN_033,OG,0 days 00:02:49.150000,0 days 00:02:53.050000,0 days 00:00:03.900000,ES_033_#17
EN_033_#18,61,62,24,26,EN,EN_033,OG,0 days 00:02:56.320000,0 days 00:03:02.690000,0 days 00:00:06.370000,ES_033_#18
EN_033_#19,61,62,24,26,EN,EN_033,OG,0 days 00:03:15.380000,0 days 00:03:20.980000,0 days 00:00:05.600000,ES_033_#19
EN_033_#20,61,62,24,26,EN,EN_033,OG,0 days 00:03:35.790000,0 days 00:03:43.960000,0 days 00:00:08.170000,ES_033_#20
ES_033_#1,61,62,24,26,ES,ES_033,RE,0 days 00:00:12.110000,0 days 00:00:15.830000,0 days 00:00:03.720000,EN_033_#1
ES_033_#2,61,62,24,26,ES,ES_033,RE,0 days 00:00:34.660000,0 days 00:00:37.480000,0 days 00:00:02.820000,EN_033_#2
ES_033_#3,61,62,24,26,ES,ES_033,RE,0 days 00:02:03.930000,0 days 00:02:06.880000,0 days 00:00:02.950000,EN_033_#3
ES_033_#4,61,62,24,26,ES,ES_033,RE,0 days 00:02:30.040000,0 days 00:02:35.010000,0 days 00:00:04.970000,EN_033_#4
ES_033_#6,61,62,24,26,ES,ES_033,RE,0 days 00:04:20.740000,0 days 00:04:24.250000,0 days 00:00:03.510000,EN_033_#6
ES_033_#7,61,62,24,26,ES,ES_033,RE,0 days 00:04:58.620000,0 days 00:04:59.800000,0 days 00:00:01.180000,EN_033_#7
ES_033_#8,61,62,24,26,ES,ES_033,RE,0 days 00:05:25,0 days 00:05:29.130000,0 days 00:00:04.130000,EN_033_#8
ES_033_#9,61,62,24,26,ES,ES_033,RE,0 days 00:05:55.280000,0 days 00:05:57.350000,0 days 00:00:02.070000,EN_033_#9
ES_033_#10,61,62,24,26,ES,ES_033,RE,0 days 00:06:08.050000,0 days 00:06:11.190000,0 days 00:00:03.140000,EN_033_#10
ES_033_#11,61,62,24,26,ES,ES_033,RE,0 days 00:06:37.190000,0 days 00:06:40.960000,0 days 00:00:03.770000,EN_033_#11
ES_033_#12,61,62,24,26,ES,ES_033,RE,0 days 00:07:37.500000,0 days 00:07:43.240000,0 days 00:00:05.740000,EN_033_#12
ES_033_#13,61,62,24,26,ES,ES_033,RE,0 days 00:08:19.900000,0 days 00:08:22.860000,0 days 00:00:02.960000,EN_033_#13
ES_033_#14,61,62,24,26,ES,ES_033,RE,0 days 00:09:09.510000,0 days 00:09:13.560000,0 days 00:00:04.050000,EN_033_#14
ES_033_#15,61,62,24,26,ES,ES_033,RE,0 days 00:10:18.930000,0 days 00:10:22.390000,0 days 00:00:03.460000,EN_033_#15
ES_033_#16,61,62,24,26,ES,ES_033,RE,0 days 00:11:18.960000,0 days 00:11:22.550000,0 days 00:00:03.590000,EN_033_#16
ES_033_#17,61,62,24,26,ES,ES_033,RE,0 days 00:13:21.250000,0 days 00:13:28.350000,0 days 00:00:07.100000,EN_033_#17
ES_033_#18,61,62,24,26,ES,ES_033,RE,0 days 00:15:07.960000,0 days 00:15:14.600000,0 days 00:00:06.640000,EN_033_#18
ES_033_#19,61,62,24,26,ES,ES_033,RE,0 days 00:16:31.800000,0 days 00:16:42.290000,0 days 00:00:10.490000,EN_033_#19
ES_033_#20,61,62,24,26,ES,ES_033,RE,0 days 00:18:24.490000,0 days 00:18:31.750000,0 days 00:00:07.260000,EN_033_#20
EN_034_#1,63,64,25,3,EN,EN_034,OG,0 days 00:00:04.590000,0 days 00:00:08.190000,0 days 00:00:03.600000,ES_034_#1
EN_034_#2,63,64,25,3,EN,EN_034,OG,0 days 00:00:09.090000,0 days 00:00:12.600000,0 days 00:00:03.510000,ES_034_#2
EN_034_#3,63,64,25,3,EN,EN_034,OG,0 days 00:00:24.330000,0 days 00:00:27.620000,0 days 00:00:03.290000,ES_034_#3
EN_034_#4,63,64,25,3,EN,EN_034,OG,0 days 00:00:28.770000,0 days 00:00:30.670000,0 days 00:00:01.900000,ES_034_#4
EN_034_#5,63,64,25,3,EN,EN_034,OG,0 days 00:00:43.234000,0 days 00:00:45.504000,0 days 00:00:02.270000,ES_034_#5
EN_034_#6,63,64,25,3,EN,EN_034,OG,0 days 00:00:58.904000,0 days 00:01:01.424000,0 days 00:00:02.520000,ES_034_#6
EN_034_#7,63,64,25,3,EN,EN_034,OG,0 days 00:01:11.269000,0 days 00:01:13.879000,0 days 00:00:02.610000,ES_034_#7
EN_034_#8,63,64,25,3,EN,EN_034,OG,0 days 00:01:15.529000,0 days 00:01:18.309000,0 days 00:00:02.780000,ES_034_#8
EN_034_#9,63,64,25,3,EN,EN_034,OG,0 days 00:01:22.780000,0 days 00:01:26.080000,0 days 00:00:03.300000,ES_034_#9
EN_034_#10,63,64,25,3,EN,EN_034,OG,0 days 00:01:30.980000,0 days 00:01:33.400000,0 days 00:00:02.420000,ES_034_#10
EN_034_#11,63,64,25,3,EN,EN_034,OG,0 days 00:02:05.485000,0 days 00:02:08.765000,0 days 00:00:03.280000,ES_034_#11
EN_034_#12,63,64,25,3,EN,EN_034,OG,0 days 00:02:09.180000,0 days 00:02:11.950000,0 days 00:00:02.770000,ES_034_#12
EN_034_#13,63,64,25,3,EN,EN_034,OG,0 days 00:02:19.850000,0 days 00:02:23.280000,0 days 00:00:03.430000,ES_034_#13
EN_034_#14,63,64,25,3,EN,EN_034,OG,0 days 00:02:28.160000,0 days 00:02:30.060000,0 days 00:00:01.900000,ES_034_#14
EN_034_#15,63,64,25,3,EN,EN_034,OG,0 days 00:02:33.005000,0 days 00:02:35.635000,0 days 00:00:02.630000,ES_034_#15
EN_034_#16,63,64,25,3,EN,EN_034,OG,0 days 00:02:46.245000,0 days 00:02:48.245000,0 days 00:00:02,ES_034_#16
EN_034_#17,63,64,25,3,EN,EN_034,OG,0 days 00:02:51.890000,0 days 00:02:55.650000,0 days 00:00:03.760000,ES_034_#17
EN_034_#18,63,64,25,3,EN,EN_034,OG,0 days 00:03:02.350000,0 days 00:03:04.250000,0 days 00:00:01.900000,ES_034_#18
EN_034_#19,63,64,25,3,EN,EN_034,OG,0 days 00:03:13.265000,0 days 00:03:15.925000,0 days 00:00:02.660000,ES_034_#19
EN_034_#20,63,64,25,3,EN,EN_034,OG,0 days 00:03:21.420000,0 days 00:03:25.260000,0 days 00:00:03.840000,ES_034_#20
EN_034_#21,63,64,25,3,EN,EN_034,OG,0 days 00:03:25.260000,0 days 00:03:27.040000,0 days 00:00:01.780000,ES_034_#21
EN_034_#22,63,64,25,3,EN,EN_034,OG,0 days 00:03:38.630000,0 days 00:03:40.450000,0 days 00:00:01.820000,ES_034_#22
EN_034_#23,63,64,25,3,EN,EN_034,OG,0 days 00:04:29.315000,0 days 00:04:31.325000,0 days 00:00:02.010000,ES_034_#23
EN_034_#24,63,64,25,3,EN,EN_034,OG,0 days 00:04:42.335000,0 days 00:04:44.445000,0 days 00:00:02.110000,ES_034_#24
EN_034_#25,63,64,25,3,EN,EN_034,OG,0 days 00:05:57.385000,0 days 00:05:59.225000,0 days 00:00:01.840000,ES_034_#25
EN_034_#26,63,64,25,3,EN,EN_034,OG,0 days 00:06:28.280000,0 days 00:06:31.370000,0 days 00:00:03.090000,ES_034_#26
ES_034_#1,63,64,25,3,ES,ES_034,RE,0 days 00:00:24.640000,0 days 00:00:29.530000,0 days 00:00:04.890000,EN_034_#1
ES_034_#2,63,64,25,3,ES,ES_034,RE,0 days 00:00:54.040000,0 days 00:00:58.570000,0 days 00:00:04.530000,EN_034_#2
ES_034_#3,63,64,25,3,ES,ES_034,RE,0 days 00:01:59.730000,0 days 00:02:05.370000,0 days 00:00:05.640000,EN_034_#3
ES_034_#4,63,64,25,3,ES,ES_034,RE,0 days 00:02:44.180000,0 days 00:02:46.350000,0 days 00:00:02.170000,EN_034_#4
ES_034_#5,63,64,25,3,ES,ES_034,RE,0 days 00:03:34.720000,0 days 00:03:38.090000,0 days 00:00:03.370000,EN_034_#5
ES_034_#6,63,64,25,3,ES,ES_034,RE,0 days 00:04:18.830000,0 days 00:04:20.830000,0 days 00:00:02,EN_034_#6
ES_034_#7,63,64,25,3,ES,ES_034,RE,0 days 00:04:58.170000,0 days 00:05:02.030000,0 days 00:00:03.860000,EN_034_#7
ES_034_#8,63,64,25,3,ES,ES_034,RE,0 days 00:05:36.720000,0 days 00:05:40.490000,0 days 00:00:03.770000,EN_034_#8
ES_034_#9,63,64,25,3,ES,ES_034,RE,0 days 00:06:31.530000,0 days 00:06:35.670000,0 days 00:00:04.140000,EN_034_#9
ES_034_#10,63,64,25,3,ES,ES_034,RE,0 days 00:07:29.050000,0 days 00:07:31.980000,0 days 00:00:02.930000,EN_034_#10
ES_034_#11,63,64,25,3,ES,ES_034,RE,0 days 00:08:08.320000,0 days 00:08:10.980000,0 days 00:00:02.660000,EN_034_#11
ES_034_#12,63,64,25,3,ES,ES_034,RE,0 days 00:08:33.370000,0 days 00:08:36.890000,0 days 00:00:03.520000,EN_034_#12
ES_034_#13,63,64,25,3,ES,ES_034,RE,0 days 00:09:07.790000,0 days 00:09:11.260000,0 days 00:00:03.470000,EN_034_#13
ES_034_#14,63,64,25,3,ES,ES_034,RE,0 days 00:09:50.030000,0 days 00:09:52.350000,0 days 00:00:02.320000,EN_034_#14
ES_034_#15,63,64,25,3,ES,ES_034,RE,0 days 00:10:14.730000,0 days 00:10:17.840000,0 days 00:00:03.110000,EN_034_#15
ES_034_#16,63,64,25,3,ES,ES_034,RE,0 days 00:10:56.820000,0 days 00:11:00.050000,0 days 00:00:03.230000,EN_034_#16
ES_034_#17,63,64,25,3,ES,ES_034,RE,0 days 00:11:26.340000,0 days 00:11:30.190000,0 days 00:00:03.850000,EN_034_#17
ES_034_#18,63,64,25,3,ES,ES_034,RE,0 days 00:11:49.870000,0 days 00:11:51.790000,0 days 00:00:01.920000,EN_034_#18
ES_034_#19,63,64,25,3,ES,ES_034,RE,0 days 00:13:00.820000,0 days 00:13:04.130000,0 days 00:00:03.310000,EN_034_#19
ES_034_#20,63,64,25,3,ES,ES_034,RE,0 days 00:13:53.410000,0 days 00:13:57.810000,0 days 00:00:04.400000,EN_034_#20
ES_034_#21,63,64,25,3,ES,ES_034,RE,0 days 00:14:45.120000,0 days 00:14:47.180000,0 days 00:00:02.060000,EN_034_#21
ES_034_#22,63,64,25,3,ES,ES_034,RE,0 days 00:15:23.110000,0 days 00:15:26.050000,0 days 00:00:02.940000,EN_034_#22
ES_034_#23,63,64,25,3,ES,ES_034,RE,0 days 00:16:34.340000,0 days 00:16:37.330000,0 days 00:00:02.990000,EN_034_#23
ES_034_#24,63,64,25,3,ES,ES_034,RE,0 days 00:18:04.640000,0 days 00:18:07.210000,0 days 00:00:02.570000,EN_034_#24
ES_034_#25,63,64,25,3,ES,ES_034,RE,0 days 00:19:27.660000,0 days 00:19:29.750000,0 days 00:00:02.090000,EN_034_#25
ES_034_#26,63,64,25,3,ES,ES_034,RE,0 days 00:20:31.280000,0 days 00:20:36.560000,0 days 00:00:05.280000,EN_034_#26
JA_030_#1,67,68,28,29,JA,JA_030,OG,0 days 00:00:00.210000,0 days 00:00:01.760000,0 days 00:00:01.550000,EN_030_#1
JA_030_#2,67,68,28,29,JA,JA_030,OG,0 days 00:00:01.840000,0 days 00:00:03.390000,0 days 00:00:01.550000,EN_030_#2
JA_030_#3,67,68,28,29,JA,JA_030,OG,0 days 00:00:03.650000,0 days 00:00:05.180000,0 days 00:00:01.530000,EN_030_#3
JA_030_#4,67,68,28,29,JA,JA_030,OG,0 days 00:00:05.970000,0 days 00:00:09.170000,0 days 00:00:03.200000,EN_030_#4
JA_030_#5,67,68,28,29,JA,JA_030,OG,0 days 00:00:09.650000,0 days 00:00:11.810000,0 days 00:00:02.160000,EN_030_#5
JA_030_#6,67,68,28,29,JA,JA_030,OG,0 days 00:00:12.010000,0 days 00:00:14.260000,0 days 00:00:02.250000,EN_030_#6
JA_030_#7,67,68,28,29,JA,JA_030,OG,0 days 00:00:15.005000,0 days 00:00:17.965000,0 days 00:00:02.960000,EN_030_#7
JA_030_#8,67,68,28,29,JA,JA_030,OG,0 days 00:00:22.620000,0 days 00:00:24.280000,0 days 00:00:01.660000,EN_030_#8
JA_030_#9,67,68,28,29,JA,JA_030,OG,0 days 00:00:28.460000,0 days 00:00:29.780000,0 days 00:00:01.320000,EN_030_#9
JA_030_#10,67,68,28,29,JA,JA_030,OG,0 days 00:00:31.390000,0 days 00:00:34.470000,0 days 00:00:03.080000,EN_030_#10
JA_030_#11,67,68,28,29,JA,JA_030,OG,0 days 00:00:34.490000,0 days 00:00:38.470000,0 days 00:00:03.980000,EN_030_#11
JA_030_#12,67,68,28,29,JA,JA_030,OG,0 days 00:00:38.630000,0 days 00:00:40,0 days 00:00:01.370000,EN_030_#12
JA_030_#13,67,68,28,29,JA,JA_030,OG,0 days 00:00:43.460000,0 days 00:00:46.380000,0 days 00:00:02.920000,EN_030_#13
JA_030_#14,67,68,28,29,JA,JA_030,OG,0 days 00:00:46.640000,0 days 00:00:50.740000,0 days 00:00:04.100000,EN_030_#14
JA_030_#15,67,68,28,29,JA,JA_030,OG,0 days 00:00:52.760000,0 days 00:00:54.700000,0 days 00:00:01.940000,EN_030_#15
JA_030_#16,67,68,28,29,JA,JA_030,OG,0 days 00:03:12.390000,0 days 00:03:15.770000,0 days 00:00:03.380000,EN_030_#16
